name,age,income,zip,net_worth
Diana Fontenot,37,68337,49785,739762
Walter Diaz,38,97327,40064,891585
Arthur Yentsch,48,98676,93287,1300352
Carol Breece,40,52917,14100,318144
Charles Nolton,21,102708,93287,216121
Matthew Wright,48,94550,33968,172803
Frances Campbell,51,56895,80728,372257
James Puskar,25,46091,81162,257910
Rose Conner,25,113879,79775,844106
Lisa Canfield,53,55103,81722,695311
Kara Smith,29,68127,53351,400038
Stephen Berg,30,39749,14100,190658
Jesse Underwood,32,26150,11251,190005
Winnie Belcher,38,47534,49785,508884
Lisa Worrell,25,26591,31724,48206
Anna Stewart,65,247905,55803,3741984
Paul Morrison,54,52762,40445,717100
Rafael Crofton,65,76264,49890,1140542
Richelle Cook,55,36957,61910,433926
James Walker,40,104503,49785,777784
Marguerite Arias,20,46809,29256,31770
Dean Jarrett,30,58210,34618,257981
Bonnie Hardy,29,68642,80728,98511
Michael Jones,21,49069,80728,286316
Bernice Cornell,24,120412,53351,685478
Helen Petersen,49,54089,57067,654021
Stacy Hearn,64,44157,52566,828483
Graciela Snyder,28,116828,59686,692995
Agnes Brooks,37,40739,81722,275106
Timothy Riendeau,34,40737,41995,140969
Eddie Tolar,18,60455,29579,104051
Daniel Stevens,28,82931,82564,337864
Elizabeth Henry,18,65068,23944,40087
Steven Harless,49,21344,55803,154478
Neal Gibbs,62,39773,90214,690172
Alice Martinez,65,160052,92366,2890436
Dorothy Funes,43,41271,81722,281065
Mary Scala,41,112900,53351,451219
Clayton Dean,26,97851,40064,249011
Vanessa Borke,32,109937,89947,325603
Harriet Mccluskey,39,61475,53351,18855
Michael Roussell,43,43195,92366,368039
John Blew,31,63579,30175,516466
Bruce Jackson,40,131436,40445,92097
Ahmed Huff,48,52729,57129,330570
Dana Cahill,54,143232,93287,1249489
Jeannette Mcgee,26,122484,40445,856198
Fred Bowers,20,53315,81162,198739
Lisa Kelly,27,41269,61065,29302
Joseph Riffel,30,39591,40445,128100
Virgie Glandon,18,24755,29579,105900
Rose Sanders,65,42895,59686,475050
James Stott,27,38207,33968,289090
Troy Sowers,44,64326,72096,230324
Angie Berri,41,41941,62919,422880
Heather Figueroa,40,71319,14100,45913
Carol Morales,19,62226,70658,221655
Josefina Poole,65,41085,52566,795470
Naomi Lara,22,54219,14100,171845
John Koch,60,45842,23944,259420
Linda Brown,31,58006,82564,51295
Michael Southwood,21,86026,85486,491629
Clara Johnson,30,36414,11251,152390
Larry Hilton,35,77040,29579,85627
Carson Anderson,56,66183,61065,225415
Autumn Whelpley,19,82355,40445,35289
Curtis Theisen,60,119040,49785,165263
Erik Krafft,47,72152,33968,623251
Aaron Parrish,50,41527,40445,282551
Ellen Oleary,55,49172,81162,422167
Donald Anderson,43,30669,41318,238390
Adele Fraley,48,60932,23944,875019
Jeffrey Carson,65,49377,72096,656300
Timothy Brown,55,91911,48154,222307
Franklin Lowe,19,47473,40064,206912
Clinton Brock,18,108299,92366,155563
Ruby Dale,51,115244,93287,1337429
Katherine Mascagni,28,39596,14100,56225
Anthony Ash,39,50068,52566,426954
Bobby Robertson,23,130310,60059,588340
Jeanette Lenoir,22,36645,85486,23275
Lucille Cardinal,52,96385,49890,601033
Dustin Fredericks,48,60919,80728,791493
Gwendolyn Walters,63,46022,92366,507160
Kenneth Davis,36,56165,80728,487330
Lorraine Walsh,21,68415,70658,332111
Blanche Wilborn,43,45997,41318,242990
Gilbert Theil,22,46762,80728,263439
Jaime Browning,61,48490,80728,597682
Christopher Baird,39,39642,82564,437456
Betty Newman,18,49883,52566,14013
Francis Barkan,56,67422,33968,1104113
Howard Wheeler,37,38955,14100,263545
Anna Cortes,31,26838,33968,250442
Nellie Olinger,60,173734,62919,464304
William Doepke,52,69228,34618,626830
Sylvia Guzman,52,39358,41995,75595
James Lockett,20,76768,53351,255403
Ann Willsey,65,36796,55803,407743
Julia Kokko,46,59672,90214,766685
Jeffrey Mcdermond,36,16921,40445,111367
Roberto Russell,45,28823,30175,203402
Anne Phillips,60,42693,53351,325277
Jill Williams,60,98262,11251,807495
Diana Scriven,22,44025,40445,250043
Mike Howe,41,32899,48910,338867
Pamela Reynolds,48,25182,57067,306088
Christoper Davis,36,60533,92366,121953
Alan Jarrett,40,51976,41995,61219
Linda Gray,43,66027,49890,158374
Craig Hamilton,49,86163,41318,451245
Robert Maurer,24,77788,90214,14543
Howard Duncan,23,93325,49890,568444
Clarence Smith,59,142194,92366,1056809
Frankie Block,33,11783,85486,11840
Gregory Rochester,26,75115,82564,221016
David Sims,43,45328,41995,572136
Frank Leib,28,48557,57129,319088
Neal Wolcott,59,106637,40064,676818
Ronald Nitcher,65,46700,70658,863068
Leslie Jensen,20,58043,57129,13892
Nancy Crawford,43,38356,72096,257442
Amanda Tobias,21,136966,11251,857243
Carissa Hurt,36,95628,48154,942400
Richard Wise,31,76812,89947,60824
Daniel Miller,39,66543,81162,537810
Joshua Horr,33,135940,59686,722164
Cory Trunzo,51,64294,90214,355152
David Kipping,38,68596,49890,625774
Thomas Jones,52,50500,89947,152654
James Casale,31,30907,79775,221927
Patricia Ferguson,47,53341,80728,368958
Victoria Arreaga,52,29797,31724,402617
Rosa Mccullough,33,26330,85486,190387
Olivia Russell,49,90295,79775,746738
Carol Pedersen,41,60558,11251,561991
Samantha Richards,19,41531,29256,233531
Thomas Chapman,57,128972,49785,1005656
Pauline Smith,29,38132,11251,95811
Vincent Gist,40,65828,72096,112417
Mary Hulet,46,80198,30175,492749
Mike Rodriquez,56,93279,11251,1212423
Ramiro Rinck,35,68008,11251,32884
Robert Davis,61,28433,48154,255767
Patricia Emerson,20,52585,33968,120306
Alexander Decoteau,45,70387,40064,842976
Sergio Luttrell,61,62273,59686,140290
Bobby Melton,60,91048,11251,37776
Helen Hutchins,20,65012,53351,54814
George Harris,57,50008,49785,36992
Karen Hall,26,73421,31643,358730
Barbara Alves,40,50764,49890,539208
Viola Swartwood,27,41284,48910,33481
Johnny Boucher,43,92826,29579,1121232
Piper Chan,29,37162,40064,120003
David Strope,23,47422,82564,308029
Nicole Moreno,27,59196,72096,221301
Brandon Grimes,52,21274,80728,312221
Harry Barbre,56,90897,82564,966718
Karl Stewart,34,44809,60059,164760
Mary Whisnant,36,93194,61065,843690
Gary Richmond,27,48613,23944,388724
Elizabeth Alford,45,52710,31724,592988
Richard Schuman,37,73664,14100,238643
Regina Henderson,53,159629,41318,260757
Billy Raphael,56,37432,40064,34638
Joseph Nally,46,120790,82564,1205699
Amelia Reiff,65,63232,31643,190668
Dennis Hunter,48,154334,72096,1931846
David Schultz,57,78026,93287,181032
Don Wallace,64,47767,61910,100727
Elizabeth Condict,44,72684,11251,800864
Ben Locorriere,45,113953,82564,861701
Jodi Plante,48,87224,23944,1203659
Margaret Hermann,54,23455,79775,5088
David Bellinger,50,33563,61065,275117
Robert Webb,52,39617,34618,20450
Marsha Oconnor,40,55959,48910,8474
Anna Buker,60,48734,34618,324950
Shauna Joyce,40,56279,81162,79911
Melissa Walter,21,78675,60059,343493
Mamie Mauney,34,53149,92366,451294
Alejandra Chow,57,86162,89947,2648
Tony Morgan,30,78052,23944,663566
Irma Hutcherson,20,44393,79775,204259
Walter James,58,49357,57129,845961
Scott Troilo,51,51282,34618,670940
Judith Bayne,35,29917,81162,300581
Linda Miller,22,38384,92366,137888
Patrick Mcgee,33,77570,48910,495796
Anthony Shelby,32,112786,79775,254399
Lester Fisher,43,38889,41318,253240
John Anderson,31,96609,49785,470679
Francis Lefeber,41,53355,79775,628254
Nancy Bowen,30,77340,34618,378766
Michael Hayes,44,46376,48154,575272
Teresa Manzone,50,148866,29256,853718
Eddie Smith,42,55485,52566,492153
Edward Barron,25,86942,61065,571122
Donna Smith,18,58059,92366,152495
John Stephens,61,50576,48910,878528
Jo Roth,53,54940,89947,362318
Robert Rutherford,20,85563,92366,268589
Laura Wallace,22,49587,79775,46688
Arnold Gee,27,56582,49890,248176
Lois Brown,22,82022,31724,318387
Emma Villegas,19,109843,41318,309574
Fanny Goggin,37,36783,48910,62676
Paul Lyles,31,87437,81722,803410
Lee Haddad,39,72565,70658,834262
Patrick Fullmer,21,20285,59686,16801
William Kirkland,61,53418,72096,939138
Mary Carver,27,106945,31643,662953
Jeniffer Rios,27,95402,61065,16759
Jerome Stclair,19,125110,31724,41315
Jamie Stanton,20,80598,80728,192403
Kathie Jenson,51,89732,81722,1082278
Blossom Fields,39,37613,57129,400655
Hector Lewis,29,50882,30175,263752
Burton Slater,36,66504,31643,57939
Barbara Magee,24,60017,48154,187018
Rita Rutherford,19,49692,14100,49401
Lisa Hernandez,62,191816,93287,3566400
Christopher Robertson,39,70891,81162,249277
William Ward,65,50751,53351,709153
Francisco Rodriguez,18,103220,53351,344520
Mary Harper,54,56774,53351,126644
Nancy Crawford,49,62415,70658,237673
Emily Hagen,20,28609,72096,83615
Erin Wiley,58,65539,40064,647174
Jeffery Calais,24,51611,30175,134218
Tanya Ayers,19,57185,23944,280388
Kristy Anderson,54,42474,79775,82441
Lisa Sampson,19,72163,81722,223679
Helene Arnold,41,109279,61065,540265
Virginia Manley,42,70882,29256,199552
Roland Naquin,51,59556,70658,322110
Silva Lehnertz,44,20409,52566,234823
Terry Taylor,40,111061,40064,786133
Laura Hallett,59,139296,93287,487729
Brian Woodard,41,41469,61065,211611
Gilda Batdorf,36,56027,59686,213464
Howard Nave,34,104440,40445,224907
Wilburn May,59,35585,70658,61526
Brian Loera,54,72309,81722,599790
Linda Bell,39,48751,61065,556207
Hattie Spurlock,34,41953,57129,201204
Mary Lowry,25,43783,90214,20189
Vicki Mueller,53,70137,40445,1011958
Maria Abild,60,31688,29579,160151
Maria Fazzino,26,53393,81162,413251
Matthew Moore,54,37813,52566,486164
Beverly Porter,28,57020,79775,406865
Kevin Blankenship,42,62813,72096,239894
Don Killian,36,158259,48154,508313
Linda Hughley,45,45730,53351,58893
Barbie Contreras,62,50675,34618,903873
James Durst,23,114292,79775,138421
Ernie Flores,43,65859,57067,719034
William Saari,49,45583,59686,83068
Richard Fulvio,24,143967,81162,184464
Norman Burres,29,67550,49890,219703
Margaret Miller,35,107489,93287,421253
Vernon Cantu,19,34788,53351,7765
Mildred Barfield,62,57316,93287,538410
Stephen Lindquist,42,152514,90214,49705
Marlene Pettus,62,66722,61910,1213396
Vicki Daniel,42,81631,55803,648937
Elouise Queen,65,97796,40064,914233
Gloria Miner,56,77058,85486,939354
Keisha James,19,100949,93287,373288
Ian Calvello,47,60920,29579,640404
Todd Maas,62,59251,11251,139402
Brigette Jasso,19,57929,31643,140641
Raymond Orourke,57,44940,59686,598216
Jason Wright,47,62514,70658,20130
Debbie Blatz,64,78515,31643,1031532
Lynn Harper,22,45291,59686,59207
Mary Tonge,48,58613,52566,755350
Jeffery Rodman,54,46791,11251,638269
Julius Howard,64,30436,89947,83641
Tamara Merrow,24,46060,72096,232499
Brenda Asher,54,45518,80728,686407
Jose Pimental,26,110285,79775,396865
Billye Engle,30,26998,14100,85769
Lindsey Gaines,59,40867,31724,112755
Woodrow Weigle,22,58409,79775,127054
Adele Voelkel,33,53004,49890,424429
Robert Peery,25,30540,49890,44501
Grace Combs,33,81460,31724,197159
Larry Royals,60,36445,14100,507423
Sandra Owens,63,55572,82564,221542
Leigh Richardson,48,34378,41995,180881
Vernon Reeder,64,107048,93287,2049010
William Gordon,23,80427,82564,177604
Kristine Wax,53,111494,48910,756001
Antonio Bragdon,56,92868,53351,206893
Diane Williamson,34,26513,30175,25211
Vivian Dixon,49,74725,49890,663089
Mary Vasquez,44,57482,14100,325699
Michael Evans,50,72640,41318,968847
Daniel Borovec,31,36356,34618,289856
Alice Leon,41,68051,90214,234920
Robert May,43,23675,79775,247775
Robert Kim,45,62346,70658,719102
Aaron Major,48,117611,57067,1331855
Mark Robertson,26,64749,90214,378493
William Anders,61,46648,34618,510819
Albert Callahan,38,57270,93287,62076
Carlos Small,46,208141,59686,609447
Julia Mccroskey,62,64433,31724,428745
Ivan Hudek,45,34589,29256,199766
Keesha Salazar,30,117522,90214,134026
Carrie Woods,61,32720,72096,420011
Katherine Gietz,42,105217,34618,448316
James Moeller,46,20464,55803,151074
William Carrington,59,34166,53351,55676
Mona Veras,49,79344,60059,987554
Mark Grise,27,70595,55803,333344
Armanda Underwood,36,64093,61065,156612
Gregory Miller,20,46082,57067,171503
Allen Lewis,25,31830,62919,351124
Mary Reiner,63,59033,49785,631755
Leticia Vanwormer,44,85547,48154,1004897
Nichole Smith,54,39712,72096,554292
James Robb,37,64826,14100,406006
Quinn Brinks,27,93890,57129,235613
Wayne Gould,46,57641,61065,778793
Craig Bergseng,31,77780,29256,669663
Marvin Garcia,35,76207,57129,459791
Robert Miller,21,45349,93287,21968
Robin Green,37,50971,41995,511273
Viola Gulley,29,126936,70658,197347
George Ashford,40,66116,55803,452294
Maria Lundy,46,41659,92366,75378
Jerrod Foy,32,97191,81162,17327
William Richardson,40,130276,29256,461582
Michael Hines,31,84466,80728,81638
Wayne Woodman,29,121555,90214,722451
James Ogilvie,44,36686,29256,335340
Rebecca Vaughan,24,62119,14100,146585
Suzanne Lemons,53,48054,57067,148608
Erica William,18,25088,81162,71136
Pat Woodcock,37,52037,70658,469250
Jerry Spencer,22,72022,52566,80942
Thomas Brown,57,76676,57129,1003808
Cynthia Davis,27,52090,30175,197736
Teresa Dunn,47,25023,29579,249859
Brad Fields,25,34490,29256,48545
Isaac Nielsen,55,47050,61910,407913
Benjamin Shives,25,25520,48910,76657
Justin Heywood,36,23675,29256,254019
Daniel Smith,60,42645,90214,583034
Maria Porter,29,29902,41318,152114
Shannon Jackson,59,78554,11251,728228
Guadalupe Pifer,26,72152,92366,306592
Teddy Davis,45,79728,14100,148796
Aurora Henderson,42,29910,49890,103137
Gloria Farley,41,35610,52566,77954
Joseph Vaughn,46,84234,48154,940399
Elizabeth Hall,52,54370,60059,691193
Kelly Lucas,51,47457,40064,36391
Lance Hood,18,39169,31643,125416
Anthony Gattis,22,30917,31724,96913
Courtney Hernandez,43,70786,53351,319718
Steven Winchester,28,57932,53351,71544
Erick Ortiz,20,40860,61910,204048
Sophie Huard,58,49325,57129,587282
Jonathan Barnes,18,50281,30175,258744
Benjamin Gearheart,60,79943,57067,1425672
Bobby Curry,60,53117,62919,287329
Mary Brito,63,145510,93287,859812
Richard Gonzales,29,49327,31724,98106
Iva Derentis,63,62580,49890,68312
Robert Cook,22,42219,81722,228265
Eleanore Reed,38,46047,49785,321789
Myrna Weisberg,47,130733,81722,738914
John White,62,70974,29256,460075
Alexander Dickey,38,94095,82564,434391
Carmen Hart,54,88134,57067,523146
Charlene Tobar,21,52838,41995,86508
Jennifer Hudgins,54,58985,81722,638647
Dorothy Springer,47,114097,55803,1509942
Minnie Barfoot,58,87001,81722,1136725
Teresa Jansen,40,26726,52566,77258
David Combs,47,21672,85486,235405
Marlene Garson,21,64354,92366,419078
Diana Mariano,40,53868,59686,372313
Pamela Burgess,28,43163,59686,190343
Amber Rich,63,59091,52566,229313
Laura Desrosiers,24,58182,41995,172916
Stephen Gingras,35,70731,48910,225600
William Butler,27,77106,61910,188523
Richard Rose,20,32398,30175,12111
Lillian Mcmakin,48,37240,72096,293662
Ashley Rushing,65,121071,31724,705958
Leonard Garner,40,26914,52566,205239
Marybeth Divine,24,135691,61910,115609
Brent Stewart,25,33340,53351,104069
Amber Henke,37,170745,61065,460169
Daniel Hopping,61,83023,29579,248646
Mohammed Molloy,19,61094,89947,316609
Kevin Carnahan,62,116686,72096,752832
Jennie Webb,56,67025,41318,940656
Marie Gilbar,24,74864,11251,188478
Heather Bateman,32,56189,14100,321284
Carissa Williams,50,68411,49785,970104
Dorothy Butts,50,59140,34618,393198
Mark Rodriguez,31,77805,41995,428607
Pearl Horst,35,68777,80728,486307
Verna Steele,28,60410,92366,202611
Kathy Diaz,59,86500,49785,440799
Valeria Potter,59,49353,52566,571536
Ernest Phillips,56,117416,61910,1786645
Russell Edemann,26,56568,53351,35333
Jan Bergen,25,59944,52566,98413
Lucille Mclean,46,64577,93287,859293
Shannon Simpson,28,134440,57067,1034408
Annette Villa,50,51568,85486,613144
Jerrod Portillo,26,130611,30175,341034
Brian Ash,30,158419,79775,910284
Sheila Williams,26,142911,90214,155414
Linda Mcentegart,19,112032,70658,514038
Demarcus Rogers,53,75158,49890,153810
David Benitez,35,26935,40445,60463
Kelvin King,26,66304,60059,310737
Jacquelin Thompson,62,75655,33968,222204
Laura Jones,36,54234,60059,480419
David Kim,23,115604,89947,412251
Kelly Lane,56,47949,52566,139834
Estela Zaring,60,28405,34618,119096
Michael Valle,50,190332,31724,1760082
Stephen Norman,31,64934,29256,477110
Maria Carter,52,95151,89947,87082
Joy Luciani,29,15475,49785,100459
Lavada Smith,57,43929,85486,670617
Nathan Hawley,55,70554,81722,135703
James Kerr,65,31773,48154,606297
Donald Mintz,49,65432,29256,681091
Sheila Loomis,20,76103,30175,429278
Daniel Walker,23,70955,70658,460577
Dorothy Nguyen,35,39567,62919,152058
Daniel Amin,36,53056,79775,554473
Sheree Davis,62,113616,49890,946308
Beth Weiss,41,60872,62919,506222
Tim Conder,53,39193,40064,363703
Mary Jenkins,38,36813,29256,393573
Juanita Funk,32,27008,61065,219278
Cecil Robinson,22,44305,49890,190350
Nancy Pardo,55,52452,93287,562819
Curtis Burgo,23,70292,72096,204570
Cliff Taylor,39,53667,49890,394251
Craig Bigelow,44,69765,49785,832836
Matthew Butcher,39,102526,41318,773388
Annie Mahoney,42,77338,31643,785602
Shirlene Moore,65,41205,41318,324216
Diane Munson,61,213915,23944,3330212
Allison Brown,51,31034,92366,288123
Linda Thompson,24,34904,62919,21593
Dianne Soliz,36,117169,41318,354808
Janet Gautreaux,32,93913,61910,569829
Marcus Akin,43,69515,55803,676760
Kimberly Zendejas,49,15918,61910,196343
William Russell,60,124065,41318,64760
Evelyn Eaton,30,98833,79775,346917
Adelaide Baxter,20,51999,48154,114648
Kendra Kincade,58,50384,29579,232497
Walter Dicamillo,35,35977,55803,251980
Charles Poston,55,69696,52566,912811
John Burkett,22,102685,81162,190934
Peggy Pratt,26,228223,31724,1634507
Ranae Torres,40,214819,80728,989850
Doyle Godine,57,90721,61065,1418028
Blanche Blackmon,42,124724,60059,780153
Kristi Decena,55,82971,61910,1290185
Stephanie Garcia,51,64857,53351,917266
Tera Ordman,60,111852,11251,997008
Arielle Park,58,41407,40445,628824
Carrie Golden,50,77023,40445,437395
Richard Mesa,50,95622,61910,883201
Valerie Holland,49,154052,34618,1529344
George Deloney,26,73956,53351,364560
Michael Kahele,27,46541,61910,83853
Keith Powers,36,45914,53351,46657
Bernard Dupree,31,21948,30175,26092
Patsy Schmidt,23,53544,48154,187879
Elizabeth Garcia,45,93683,52566,1111595
Paul Haney,29,68424,89947,119722
Mary Boelter,42,66802,31724,816026
Neil Gleaves,41,67711,40445,435539
Marguerite Whitmire,36,50625,48910,533955
Donald Baker,52,42193,57129,458062
Jennifer Harr,44,116471,81162,843521
Stephen Owens,60,188546,61065,547867
Charles Varga,32,25276,60059,142645
Alice Ledoux,45,30557,40445,250399
Daniel Neumann,25,115282,93287,860929
John Melancon,57,146080,79775,1004865
Kevin Smith,28,72741,61065,325347
Lizzie Hargrove,20,70092,49890,26748
Donna Woods,56,48402,49785,229626
Wayne Nelson,57,43275,31643,471583
Stephen Kidd,33,191341,90214,949792
Lori Arrington,43,77128,57067,868801
Jimmy Crow,27,156842,33968,140510
Rachel Stigers,21,106263,89947,281394
Jeffrey Ulmer,25,73524,89947,301337
Christopher Cho,50,70217,53351,605285
Cecil Acker,20,59734,40445,146372
Faith Durand,39,41099,81722,162701
Timothy Jewett,19,48533,92366,215375
Joseph Vickery,20,28544,31643,99972
Christopher Kidd,27,66555,72096,64213
Ralph Margulis,61,247653,92366,3914506
Tessa Greene,41,81750,59686,440456
Paul Sobina,59,18995,72096,36895
Sandra Freeman,59,121278,55803,457184
James Greene,35,45607,31724,245892
Mary Hollander,52,50107,48910,539983
Charles Ross,52,110798,61910,1351824
Maria Barlow,59,72105,31724,1007709
David Counterman,38,83168,33968,275988
Guadalupe Paddock,36,72193,79775,51971
Harry Medina,65,76877,70658,429495
William Carter,43,48087,62919,47340
William Fissel,33,116409,41318,484448
Shellie Carper,54,66494,52566,357293
Mary Dixon,24,114096,90214,228763
George Ramos,63,48314,53351,327546
Robert Fitzgerald,47,40012,55803,405106
Pauline Session,33,94825,70658,239427
William Macaluso,63,92158,81162,723994
Sharon Wilson,63,87102,93287,1063911
Hazel Lewis,51,83841,34618,1133595
Emily Sabb,55,73913,40064,1136089
Daniel Patty,39,39709,61065,17773
Jaime Collins,61,23384,41995,248522
Dirk Mcghee,26,43241,23944,54558
Judy Stewart,19,35187,31724,135663
Rita Dacosta,59,24358,60059,405761
Frances Whittington,25,124651,92366,388536
Keith Kochheiser,34,48031,60059,179734
Joni Buell,60,34729,29579,290598
Barbara Reynolds,31,84350,61910,579153
Martin Zayas,42,61549,49890,285213
Daniel Bonanno,49,120473,57067,524846
Vonda Thomas,27,25666,49890,105450
Chad Menze,33,46735,89947,310904
William Haber,58,41461,11251,170690
Barry Rinaldi,39,67635,62919,139856
Heather Turner,36,72712,60059,336386
Christopher Downing,64,57261,82564,249112
Veronica Harris,56,50750,34618,45134
Dawn Urban,43,51683,59686,346965
Maria Thomas,48,37928,57067,433259
Cindy Lewis,38,41977,61065,417491
Leonard Schreiber,30,29839,57067,196880
Eliz Zeigler,63,84688,60059,946739
Ann Perez,52,35351,48154,224200
Frances Barks,58,55054,53351,860406
Dawn Solis,23,64799,48910,22938
Willis Butler,56,96768,49890,219252
John Helm,25,88410,11251,122244
Cassi Brantley,23,89507,40064,252129
Gladys Mccartney,32,38108,29579,262899
Theresa Havens,55,55954,49785,726648
Joshua Carson,34,51565,59686,181670
Christine Rogers,37,47734,60059,476183
Eva Chessman,61,64905,34618,7146
Thomas Worley,43,43796,53351,228315
Kenneth Vinion,53,47995,48154,56605
Marshall Burns,63,29614,85486,522924
Alexander Porter,57,170065,62919,1454283
Nina Robles,55,45452,55803,354580
Craig Stanton,23,42490,59686,23028
Andrew Lamm,20,48410,90214,58937
David Pigeon,42,47981,52566,379007
Hattie Lake,63,181513,31643,2610924
Janice Kurokawa,34,70690,40445,493050
Rebecca Weaver,48,64170,11251,672623
Walter Anderson,51,62623,57067,926127
William Klinger,59,41933,57129,543449
John Hill,61,131998,40445,126678
Carla Larson,65,64443,31724,200377
Dennis Ferguson,46,96712,85486,392847
Curtis Lucas,19,40577,80728,34295
Alphonso Wells,43,59369,30175,281783
Helen Humphreys,31,43489,40064,103562
Joseph Harris,60,60124,59686,182379
Abby Campbell,47,84343,89947,36240
Justin Johnson,28,44264,31643,154758
Billie Norris,59,49501,70658,453248
David Pierce,57,83263,80728,640551
Vada Hoover,47,63042,60059,568632
Charles Mccoy,56,58422,57129,648115
Robert Puleo,38,53396,14100,23639
Carolyn Perry,42,34684,59686,384510
David Smith,32,163818,49785,923269
Lindy Clark,65,56427,57067,343909
Dorothy Duffin,59,115073,92366,173772
Nancy Batts,40,80806,92366,12404
Martin Marbley,36,93655,85486,460745
William Youssefi,20,43548,53351,257095
Pamela Rothrock,19,44294,53351,158020
Maxine Collins,47,32201,57129,255753
Donnell Hood,53,24761,79775,370431
Beth Short,21,166388,81162,552024
Earl Miller,54,56535,72096,261603
Blanche Powell,29,110820,55803,84626
Douglas Cartwright,50,38973,40064,274015
Brandon Battles,41,75836,90214,108368
Donna Kincaid,23,108177,79775,520114
Johnny Fisk,61,33387,23944,431549
Mary Donnell,33,70748,34618,724079
Ellie Martin,52,43917,60059,555799
Mary Griswold,51,172717,52566,2448387
Kelly Harris,30,80625,11251,329356
Kenneth Fleming,63,59320,48910,839435
Omar Boblitt,18,19526,11251,88354
Gloria Berlinger,35,44804,40064,157080
Carol Williams,22,43322,90214,176831
Jacquie Schofield,24,155435,62919,372803
Vilma Vasquez,39,51669,85486,584054
Tamera Fleniken,55,109300,61910,830078
Melody Williams,49,103616,31724,1403638
Michael Roberts,35,37991,49785,283415
Michael Joseph,54,46311,61910,277144
Ruby Fields,25,52450,82564,135549
Edwin Boucher,33,57614,57067,430445
Rodney Peel,49,23897,23944,118569
Kathy Millett,64,43009,82564,141389
Stella Rice,29,85535,31724,119193
George Blaisdell,34,54390,93287,442331
Jeremy Fortin,35,125417,61910,892951
Robert Waite,65,29035,60059,399676
Josephine Stewart,33,187024,31724,1357132
Willie Arrington,65,47730,23944,319979
Frederick Harris,40,109363,29256,97541
Dillon Billy,53,101519,70658,200371
Julie Mitchell,48,32712,23944,431879
Donald Reliford,35,39184,31724,272143
Alexander Skubis,65,76944,40445,892864
Betty Walker,54,25918,31724,130035
Alan Harvey,47,66553,81162,813103
Mario Thomas,40,107958,61065,440338
Raul Marshall,61,34542,61910,459550
Melissa Danforth,65,70614,61910,119489
Corinne Harmon,39,32943,72096,14501
Maurice Allen,30,60137,40064,488619
Mary Braden,59,69537,55803,683816
Joan Escobedo,19,42320,92366,5913
Eileen Rice,58,85873,41318,563352
Ashley Saran,47,47844,85486,227254
James Mars,27,113291,60059,322109
Beatrice Williams,42,55860,81162,116515
Julie White,24,33534,62919,152763
Ricky Williams,32,166445,40445,1346350
Helen Smelcer,21,22399,49785,121200
Sandra Ochoa,55,48262,89947,774697
Daniel Simmons,46,49286,59686,692341
Walter Freeman,31,50995,14100,63931
Paula Koeppen,32,54272,57129,171771
George Mitchell,60,71940,89947,197817
Dolores Currin,56,63169,72096,1040244
Dudley Staggers,21,67676,29579,288039
Catherine Geary,20,33125,33968,121400
Michael Mclane,21,54174,33968,148629
Carolyn Armbruster,63,71264,93287,356744
Daniel Wiemer,32,27844,85486,1975
Alvin Sumpter,48,43426,29579,112563
Mark Stevenson,18,32602,81722,85427
Harold Burchfield,55,50837,41995,253450
Kyle Law,56,53605,31724,768558
Edward Hutton,48,73782,72096,425925
Wendy Winks,53,105320,33968,959345
Robert Cox,27,36761,30175,207691
Jason Hollenbeck,47,115013,34618,1435312
Heidi Snyder,44,70608,89947,349415
Jesus Demski,45,53864,52566,187554
Mary Garcia,43,47512,31643,554836
Ann Werre,46,53615,49785,408039
Barbara Zavala,42,64646,29256,732000
Shawn Bruce,46,52900,72096,349260
Nicole Clark,33,54456,70658,412036
Erica Mcabee,42,84421,57067,264021
Kenneth Heinbach,59,60467,61910,31981
Susan Davis,19,47908,62919,94235
Josefina Howard,65,55902,93287,928038
Alec England,32,84073,34618,381584
Francis Wilmoth,57,30313,14100,426845
Paul Davis,21,78306,41995,90219
Beverly Stallings,24,108216,72096,504488
Evelyn Chambley,62,204822,80728,2413403
Rebecca Rutherford,19,24507,30175,73513
Kattie Blake,28,96427,81722,553898
Eric Doggett,41,71094,70658,846202
Anna Kelly,35,53524,79775,490583
Jerry Mathers,62,43905,52566,230845
Jeffrey Gray,64,94914,29579,1082028
Joesph Lucero,38,70060,81162,123559
Sarah Shuler,51,61498,85486,390370
Neil Newell,29,39229,57067,170290
Jacqueline Angeles,65,79897,59686,603685
Carman Maybee,33,60020,30175,505785
Leroy Greer,25,73853,62919,236276
Penny Mccloud,59,112571,49785,1645171
Denise Tullius,29,48860,40064,288826
William Sutton,36,101539,40064,630677
Jessica Craner,31,53854,57067,488211
Perla Bordley,40,76533,48910,108097
Eliza Benson,30,99812,81722,219634
Alysha Jackson,33,41404,61065,405526
Judy Baxter,33,31647,11251,282490
Victor Hess,35,60402,34618,234922
Nicole Boose,28,74463,70658,78110
Nina Mccabe,58,40793,62919,41368
Anthony Boling,60,37992,72096,351942
Brad Schwartz,30,69441,70658,181943
Raymond Benenati,64,49680,14100,886700
Judy Miller,30,30025,80728,65277
Martha Carter,59,41328,48154,685434
Thomas Tilghman,59,107819,48154,1264646
